iter	Passed	Remaining
726	9433	3542
727	9447	3529
728	9459	3516
729	9472	3503
730	9484	3490
731	9495	3476
732	9506	3462
733	9518	3449
734	9528	3435
735	9538	3421
736	9550	3408
737	9562	3394
738	9571	3380
739	9584	3367
740	9597	3354
741	9610	3341
742	9621	3328
743	9633	3314
744	9645	3301
745	9655	3287
746	9668	3274
747	9681	3261
748	9692	3248
749	9704	3234
750	9714	3220
751	9727	3208
752	9740	3194
753	9751	3181
754	9763	3168
755	9773	3154
756	9785	3141
757	9795	3127
758	9808	3114
759	9820	3101
760	9831	3087
761	9841	3073
762	9850	3059
763	9862	3046
764	9874	3033
765	9883	3019
766	9895	3006
767	9906	2992
768	9914	2978
769	9925	2964
770	9935	2950
771	9946	2937
772	9959	2924
773	9974	2912
774	9988	2899
775	9998	2886
776	10010	2873
777	10023	2860
778	10038	2847
779	10048	2834
780	10060	2821
781	10072	2808
782	100782	1015783	100783	1016784	101784	1017785	101785	1018786	101786	1019787	101787	1021788	101788	1022789	101789	1023790	101790	1024791	101791	1025792	102792	1026793	102793	1027794	102794	1029795	102795	1030796	102796	1031797	102797	1032798	102798	1033799	102799	1034800	102800	1036801	103801	1037802	103802	1038803	10324	2516
804	103804	1040805	10350	2491
806	10362	2478
807	10376	2465
808	10387	2452
809	10400	2439
810	104810	1048811	10423	2413
812	10434	2400
813	10447	2387
814	104814	1052815	10469	2360
816	10483	2348
817	10495	2335
818	10511	2323
819	105819	1059820	10535	2297
821	10547	2283
822	10558	2270
823	10570	2257
824	10580	2244
825	10593	2231
826	10604	2218
827	106827	1068828	106828	1070829	106829	1071830	106830	1073831	106831	1074832	106832	1075833	106833	1076834	107834	1077835	107835	1078836	107836	1079837	107837	1081838	107838	1082839	107839	1083840	107840	1084841	107841	1086842	107842	1087843	10813	1998
844	108844	1089845	10841	1973
846	108846	1092847	10863	1947
848	10876	1934
849	10887	1921
850	108850	1096851	10911	1895
852	10925	1882
853	10939	1870
854	10948	1856
855	10961	1843
856	10971	1830
857	10983	1817
858	10992	1804
859	11006	1791
860	11019	1778
861	11034	1766
862	11045	1753
863	11056	1740
864	11068	1727
865	11078	1714
866	11088	1701
867	11103	1688
868	11113	1675
869	11126	1662
870	11138	1649
871	11150	1636
872	11161	1623
873	111873	1124874	111874	1125875	112875	1127876	112876	1128877	112877	1130878	112878	1131879	112879	1132880	112880	1133881	112881	1134882	112882	1135883	112883	1136884	113884	1138885	113885	1139886	113886	1140887	113887	1141888	113888	1142889	113889	1143890	113890	1144891	113891	1145892	113892	1147893	114893	1148894	114894	1149895	114895	1150896	114896	1151897	114897	1152898	114898	1154899	114899	1155900	114900	1156901	114901	1157902	115902	1158903	115903	1159904	115904	1160905	115905	1162906	115906	1163907	115907	1165908	115908	1166909	116909	1167910	116910	1168911	116911	1170912	116912	1171913	116913	1172914	116914	1173915	116915	1174916	116916	1175917	116917	1176918	117918	1178919	117919	1179920	117920	1180921	117921	118922	117922	118923	117923	118924	117924	118925	117925	118926	118926	118927	118927	118928	118928	119929	118929	119930	118930	119931	118931	119932	118932	119933	118933	119934	118934	119935	118935	119936	119936	119937	119937	120938	119938	120939	119939	120940	119940	120941	119941	120942	119942	120943	119943	120944	120944	120945	120945	120946	120946	121947	120947	121948	120948	121949	120949	12144	639
950	12160	626
951	12174	613
952	12188	601
953	12200	588
954	12213	575
955	12223	562
956	12235	549
957	12244	536
958	12257	524
959	12268	511
960	12278	498
961	12291	485
962	12303	472
963	12313	459
964	12326	447
965	12336	434
966	12347	421
967	12357	408
968	12370	395
969	12382	382
970	12391	370
971	12406	357
972	12417	344
973	12429	331
974	12441	319
975	12454	306
976	12470	293
977	12485	280
978	12497	268
979	12510	255
980	12534	242
981	12546	229
982	12557	217
983	12570	204
984	12583	191
985	12594	178
986	12606	166
987	12617	153
988	12628	140
989	12637	127
990	12650	114
991	12663	102
992	12678	89
993	12692	76
994	12702	63
995	12715	51
996	12725	38
997	12735	25
998	12746	12
999	12755	0
